"Valid Values","Description","Source"
"BD FACSAria Fusion cell sorter","",""
"BD FACSAria III","",""
"BD FACSCanto","",""
"BD FACSCanto II","",""
"BD FACSDiscover A8","",""
"BD FACSDiscover S8","",""
"BD FACSLyric Clinical","",""
"BD FACSMelody","",""
"BD FACSymphony S6","",""
"BD LSRFortessa","",""
"Chromium Controller","A microfluidic device by 10x Genomics used for single-cell partitioning and barcoding, enabling high-throughput single-cell RNA sequencing and other applications.","<a href=""https://www.10xgenomics.com/instruments/chromium-controller"" target=""_blank"">10x Genomics</a>"
"Chromium GEM-X Single Cell 3' Chip v4","",""
"Chromium Next GEM Chip G","",""
"Chromium Next GEM Chip H","",""
"Chromium Next GEM Chip K","",""
"Chromium Next GEM Chip M","",""
"Chromium Next GEM Chip Q","",""
"Chromium X","An advanced instrument by 10x Genomics designed for high-throughput single-cell applications, offering improved hardware robustness and scalability for large-scale studies.","<a href=""https://www.10xgenomics.com/instruments/chromium-family"" target=""_blank"">10x Genomics</a>"
"Chromium Xo","A cost-effective version of the Chromium X series by 10x Genomics, providing automated single-cell partitioning and barcoding with the option to upgrade to full Chromium X capabilities.","<a href=""https://www.10xgenomics.com/instruments/chromium-xo"" target=""_blank"">10x Genomics</a>"
"Chromium iX","A lower-throughput, cost-effective instrument by 10x Genomics for single-cell analysis, upgradable to the high-throughput Chromium X with a software update.","<a href=""https://www.scdiscoveries.com/blog/knowledge/how-does-10x-chromium-work/"" target=""_blank"">SCDiscoveries</a>"
"CyTOF XT","A mass cytometry platform by Standard BioTools (formerly Fluidigm) that enables high-dimensional analysis of single cells by measuring multiple parameters simultaneously using metal-tagged antibodies.","<a href=""https://www.standardbio.com/products/cytof-xt"" target=""_blank"">Standard BioTools</a>"
"Cytek Aurora","",""
"Cytek Aurora Evo","",""
"Fluidigm BioMark","",""
"GEM-X Flex Gene Expression Chip","",""
"GEM-X OCM 5' Chip","",""
"Helios Mass Cytometer","A mass cytometry instrument by Standard BioTools (formerly Fluidigm) that allows for comprehensive phenotyping of cells by detecting multiple markers with high sensitivity using metal-conjugated antibodies.","<a href=""https://www.standardbio.com/products/helios"" target=""_blank"">Standard BioTools</a>"
"Hyperion","An imaging mass cytometry system by Standard BioTools (formerly Fluidigm) that combines mass cytometry with imaging to provide spatially resolved, high-dimensional analysis of tissue sections.","<a href=""https://www.standardbio.com/products/hyperion-imaging-system"" target=""_blank"">Standard BioTools</a>"
"Illumina HiSeq 2500","A high-throughput sequencing system by Illumina capable of generating large volumes of DNA sequence data, suitable for a wide range of genomic applications.","<a href=""https://www.illumina.com/systems/sequencing-platforms/hiseq-2500.html"" target=""_blank"">Illumina</a>"
"Illumina HiSeq X Ten","",""
"Illumina NextSeq 500","A desktop sequencing system by Illumina offering flexible, high-throughput sequencing for various applications, including whole-genome, exome, and transcriptome sequencing.","<a href=""https://www.illumina.com/systems/sequencing-platforms/nextseq.html"" target=""_blank"">Illumina</a>"
"Illumina NovaSeq 6000","A scalable, high-throughput sequencing system by Illumina designed for large-scale genomic projects, providing flexibility across a range of applications with high data output.","<a href=""https://www.illumina.com/systems/sequencing-platforms/novaseq.html"" target=""_blank"">Illumina</a>"
"Illumina NovaSeq X","The latest high-throughput sequencing platform by Illumina, offering increased speed, scalability, and cost efficiency for large-scale genomic studies.","<a href=""https://www.illumina.com/systems/sequencing-platforms/novaseq-x-series.html"" target=""_blank"">Illumina</a>"
"Not Applicable","",""
"Olink Signature Q100","",""
"Sony MA900","",""
"Thermo Fisher Attune CytPix","",""
"Thermo Fisher Attune NxT","",""
"Thermo Fisher Attune Xenith","",""
"Visium CytAssist","A spatial genomics instrument by 10x Genomics that facilitates the transfer of tissue samples onto Visium slides, enabling spatial gene expression profiling.","<a href=""https://www.10xgenomics.com/products/visium-cytassist"" target=""_blank"">10x Genomics</a>"
"Xenium","An in situ analysis platform by 10x Genomics that allows for high-resolution mapping of gene expression within tissue sections, providing spatial context to molecular data.","<a href=""https://www.10xgenomics.com/products/xenium"" target=""_blank"">10x Genomics</a>"
"none","Indicates that no specific platform was used or that the platform information is not applicable or provided.",""
"unknown","",""
